ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot
201.7536231896472,-47.6939748577955,-3.4699812915107717,-6.944925706764321,0.1451239494050337,0.8825119,18.170845,18.510847,17.661297,0.94465184,5421.2554
201.75087077300157,-47.692320881773426,-3.5134292171221473,-6.408674073461443,0.7375946159955818,3.1440868,18.757957,19.161022,18.319454,1.0141897,5532.9062
201.76631886191748,-47.67970318948705,-3.503898493322291,-6.27525042313847,0.0381595245770307,0.2438832,17.902597,18.254707,17.441496,0.97176105,5657.86
201.70123481928232,-47.70214542957662,-4.057038848233529,-7.0062016449482325,0.1229669387678468,2.6694927,15.374103,15.836243,14.715526,1.1499106,5679.669
201.72276811901628,-47.68850345894657,-3.5135310334517182,-6.855813736615546,0.2051083306474925,2.4388545,16.638664,17.08656,16.027145,0.90299577,5421.791
201.71625661521364,-47.67926887007555,-3.5424231387733496,-6.426291609304059,0.3548999596481209,1.9568616,18.260103,18.484198,17.650139,0.94587797,5675.274
201.76480422785565,-47.67694977844207,-3.684296693940049,-6.797398676432552,0.6842955543864779,2.2907534,18.492413,18.774027,17.855047,1.1581435,5417.786
201.75108672881348,-47.67326661761625,-3.9161356429837473,-6.4088741490790895,0.5158642140593866,2.8719575,18.230844,18.569386,17.79725,1.0471772,5697.61
201.74254644297216,-47.668292888160295,-3.9857895259395706,-6.5242147272940985,0.051210787273298,0.23183005,18.531948,18.863195,18.073965,1.0866042,5634.86
201.75485695846712,-47.6610354980119,-3.001568858666678,-6.326904530287881,0.2439564245474816,1.28713,18.215034,18.425694,17.651524,1.0423987,5667.117
201.79975096062347,-47.68235229674518,-3.243518399168072,-7.352455091811771,0.0258225355589919,0.11689073,18.512066,18.817694,17.943647,1.150263,5533.6655
201.8104166096144,-47.66815814965721,-3.383956843429461,-7.323950447084206,0.5057649067738867,2.1249018,18.324232,18.603178,17.733185,1.116398,5509.676
201.77640865572224,-47.67985041282917,-3.056129452926319,-7.413353419051928,0.2986617812028385,1.3692211,18.465178,18.856798,18.03497,1.0785688,5642.397
201.78704681679105,-47.66760705699152,-3.8054024240252105,-5.946475059308321,0.4411519105176575,4.001216,17.05022,16.952969,16.213554,1.0199865,5898.058
201.799650036938,-47.66123068389031,-3.650727740625361,-7.347866558940499,0.4528265306149211,3.3329391,17.739405,18.0651,17.270206,1.0136275,5685.702
201.8327136388472,-47.65391429679311,-4.121332357996533,-6.963239436515672,0.1703671380956149,5.0160036,14.633673,15.12207,13.946076,0.9952266,5902.46
201.8154583872171,-47.66011413512713,-3.622978822375164,-6.974050987628296,0.281531359126932,1.6166043,17.971342,18.326925,17.509356,0.9462486,5654.4224
201.79577815758415,-47.6543635199956,-3.1336749054002464,-6.640914164724492,0.3889454563789345,1.618556,18.507473,18.860912,18.04104,1.0209892,5542.026
201.7786754330797,-47.63952455284893,-3.388075208063023,-7.057898205332202,0.0110934211870083,0.23578791,15.017241,15.376039,14.276763,1.1736451,5980.8145
201.8020067945947,-47.63987094644663,-2.9758135002087505,-6.332779336922356,0.1341401013413977,0.90789,17.570505,17.738625,16.85867,1.2066306,5747.842
201.80155380162785,-47.6225856263471,-3.55936128912523,-6.762792256758477,0.1765844020471088,1.6632555,17.247894,17.624533,16.686148,1.1030474,5391.1904
201.8039414861636,-47.630802310521915,-3.4038099254018492,-6.627300479091305,0.2779346449560597,2.6780343,17.164192,17.513231,16.530073,0.9792234,5410.409
201.6838257401698,-47.67653037800633,-3.836057122671148,-6.770474653335192,0.2400314732714079,0.94222766,18.674765,19.029278,18.205666,0.8342123,5600.0
201.6733635632361,-47.67523677456252,-3.1717161583757,-6.082063696237282,0.1632258545399564,2.701772,16.158678,16.62377,15.518326,0.96497357,5781.8755
201.6893043233113,-47.66849746479782,-3.349437682110793,-6.436095248891978,0.4798939918799647,1.949248,18.570593,18.861914,17.891222,1.1652759,5268.0415
